Video_Id,Title,Published_date,Views,Likes,Favorite,Comments
b0J7Eh8pD4Q,Cuti ibu bapa ditambah… apa yang harus anda tahu?,2024-09-06,32,0,0,0
p-HI07DG9E4,Ambil dadah sejak usia muda,2024-09-05,311,9,0,1
gK-qVTubFBg,Laporan Khas BH: Kunafa sampai begitu sekali?,2024-09-02,100,2,0,0
8iAbw9xqspk,Saya tak simpan makanan untuk diri sendiri!,2024-08-30,114,9,0,1
2ENMamfnYuU,Puas makan durian sambil belayar naik 'cruise',2024-08-30,126,0,0,0
K7ZezGkQKGg,Laporan Khas BH: Hanya $50 untuk tempah baju kurung di Vietnam?,2024-08-26,148,1,0,0
gMbQKyL3fL4,Kuda kepang - seni atau songsang? #sgnews #beritasingapura #kudakepang #kudalumping,2024-08-21,396,6,0,0
4_46FADQiFs,9 tahun sudah berlalu tapi tragedi gempa bumi di Sabah pada 2015 terus dikenang mangsa. #sgnews,2024-08-21,431,8,0,0
2DVgTtCcnR4,Sekilas ucapan bahasa Melayu Encik Lawrence Wong di #NDR sulungnya sebagai PM. #sgnews,2024-08-21,531,7,0,0
n1FJWmxtFao,Laporan Khas Berita Harian Singapura: 'Kayak Fishing',2024-08-18,132,3,0,1
nlY00Tm03lQ,Barang asas untuk pergi 'kayak fishing',2024-08-18,18,1,0,0
WFOI269E0dY,Sambung lagu NDP…mampu tak mampu?,2024-08-13,120,2,0,0
rj3o09wJqjk,Laporan Khas Berita Harian Singapura: Bina asas masa depan,2024-08-11,157,3,0,1
9UIszk9xGS0,Menetapkan Laluan Bagi Era Baru Aktivisme dan Kesukarelawanan.,2024-08-08,43,1,0,0
nznYWPNiEV8,Dialog Masyarakat BH #2: Belia & Kesedaran Sivik,2024-08-07,46,0,0,0
7-yuhy8edh0,Dialog Masyarakat BH #2: Belia & Aktivisme,2024-08-07,24,0,0,0
_k0kUs8S614,Gempa bumi Sabah 2015: Masjid Ba'alwie urus jenazah dua mangsa korban,2024-08-04,75,0,0,0
SLXU71lpVIA,Gempa bumi Sabah 2015: 9 tahun kemudian...,2024-08-04,557,6,0,0
fjjvIGqGXYw,Laporan Khas Berita Harian Singapura: Akan kukembali ke Kinabalu...,2024-08-03,389,10,0,0
pzJRR3e-WvM,Boleh ke kenal tanda penyalahgunaan dadah?,2024-08-02,217,8,0,0
gGrPfU7ynNs,"Hasil ulang-alik Koswe 14 tahun, warga M’sia kini miliki 3 hartanah",2024-07-28,447,6,0,1
9QOX5L27mBg,Laporan Khas Berita Harian Singapura: Mengejar durian runtuh di Singapura,2024-07-27,53642,162,0,33
EecxTQXa1Es,Jumlah warga Malaysia cari kerja di Singapura naik 60%,2024-07-27,514,7,0,0
_cT7zogysS0,Tahun meraikan Sukarelawan!,2024-07-26,177,3,0,0
azZ0LYP3sic,BHerbual Ep 4: Orang muda tak peduli mengenai politik?,2024-07-25,62,3,0,0
sx6kA2rMeCY,Cara aktifkan akaun langganan percuma BH,2024-07-25,8,0,0,0
ShV0_UW2EkQ,"Perancangan harta: Faraid bukan satu-satunya, ada pelbagai cara lain",2024-07-23,421,11,0,0
FVVc_1ISHYY,Laporan Khas Berita Harian Singapura: Kuda Kepang: Seni atau songsang?,2024-07-20,621,6,0,0
zr6NuJxvIyA,Membesarkan seorang atlet Olimpik,2024-07-19,187,3,0,0
cyf2hU93934,"Laporan Khas Berita Harian Singapura: Batam, rumah keduaku...",2024-07-16,189,3,0,0
L6ioN6Syc00,Dari Al-Azhar ke Berita Harian,2024-07-12,269,5,0,0
GNmvad8z-Sw,Laporan Khas Berita Harian Singapura: Nikah rahsia secara ‘zoom’ dari Batam,2024-07-05,1379,14,0,1
f0_l6iqQszw,Kaki Makan: Brunch @ Legundi perkenalkan sajian ‘fusion’ di Sembawang,2024-07-05,352,6,0,0
xkGxBzmeKMA,"Belia terlalu liberal dengan dadah, apa ibu bapa boleh buat?",2024-07-04,217,6,0,0
iPXQ1wC-xr8,"Kaki Makan: Suami isteri bekas jurutera, alih kerjaya tubuh niaga roti 'sourdough'",2024-07-04,519,10,0,0
ezkGwhci-l0,Laporan Khas Berita Harian Singapura: Ulang tahun ke-100 Koswe: Lambang hubungan rapat SG-MY,2024-06-28,730,13,0,5
l05VPiSw03w,Dari kecil dah jadi mangsa dadah,2024-06-28,251,6,0,1
2EK2WndVeIw,BHerbual: Naik pangkat di tempat kerja: Kerja keras atau guna 'kabel'?,2024-06-27,108,1,0,0
pVXCwPU0Amo,BH Terangkan: Pembersihan Limpahan Minyak,2024-06-24,71,2,0,0
syCL7uBhv7c,Berenang dengan sebelah tangan...boleh ke?,2024-06-21,210,5,0,0
3yidGjiHZgA,Soalan 'Rapid Fire' bersama Joe Flizzow,2024-06-21,52,3,0,0
O4PdvjrKsJ4,Soalan 'Rapid Fire' bersama Ernie Zakri,2024-06-20,108,7,0,0
XC75gOZefcU,"BHerbual: Seberang tambak, naik pengangkutan awam atau kereta sendiri?",2024-06-15,85,2,0,0
L7ye0mSQqNo,Pengorbanan bagi saya adalah....,2024-06-15,51,2,0,0
XUx-cP1WlZg,Selamat Hari Bapa!,2024-06-14,86,1,0,0
971tEV7P17Y,Bukan gila tapi ada penyakit jarang jumpa,2024-06-14,308,12,0,0
GBPOWoYFqu0,Ibu bapa tak tahu jaga anak?,2024-06-07,199,3,0,0
lBbXDuWKn14,"Kaki Makan: Dari Palestin ke Malaysia, ‘Raja Lamb Shank’ kini buka restoran di S’pura",2024-06-07,97,2,0,0
HyPkWE1-9xA,"Ibu tunggal hilang kaki kiri dek minyak panas, kini kedua-dua mata buta",2024-06-06,3978,23,0,3
sgW-I3us92Y,Kaki Makan: Peniaga muda tarik pelanggan dengan stik dan burger bermutu,2024-05-31,99,4,0,0
TksssdrXvO4,Apabila pembantu rumah bercuti….,2024-05-31,360,9,0,0
d959pk4huhY,Dialog Masyarakat bersama Asatizah,2024-05-25,191,2,0,0
jvPDmuumxGM,Kaki Makan: Pemilik Waroeng Anak Indo dan Rumi tawar belia tempat ‘lepak’ di Haji Lane,2024-05-25,50,5,0,0
rE5syKblnfo,Upacara penuh istiadat bagipegawai SCDF yang gugur semasa tugas,2024-05-20,105,2,0,0
1E-UFVFhMf0,"OMG+ Episode 10 - “Kenapa belum kahwin lagi?” Tapi, sudah bersedia ke?",2024-05-19,64,1,0,0
iztkDgnSUo4,"BHerbual: Melancong dengan kawan, beban atau bukan?",2024-05-19,173,2,0,0
m9EHanugTls,Pelepasan imigresen automatik bagi semua pelawat di Changi,2024-05-18,305,1,0,0
Izj7DZ4424E,tBH bersama Menteri Shanmugam tentang situasi dadah di Singapura,2024-05-18,158,3,0,0
2MeUVUs5Lc8,Sandwic ‘deli’ asli gaya New York dibawa ke S’pura,2024-05-18,639,6,0,0
0vdn5R5CDFs,"‘S’pura harmoni, makmur dan berkembang maju’... terima kasih, SM Lee",2024-05-17,425,6,0,0
1o1_diZhqBo,Apa kata penduduk Limbang tentang DPM Lawrence Wong?,2024-05-15,4279,29,0,9
8UUlfmvTdcg,"Dari Budak Marine Parade, kini Perdana Menteri keempat Singapura",2024-05-15,434,8,0,0
a02hQLqyn5g,Wawancara bersama DPM Wong: Mandat rakyat harus dimenangi parti yang ingin memerintah,2024-05-14,770,5,0,0
nqRLmMq-OJs,Wawancara bersama DPM Wong: Perlu perkukuh identiti unik Singapura,2024-05-14,1302,10,0,1
h1UjCrhrczo,Wawancara bersama DPM Wong: Tingkat usaha perbaiki kemahiran berbahasa Melayu,2024-05-14,943,6,0,4
PBIDiTpC5AI,"OMG+ Episode 9 - “Kita saling mencintai…” Tapi, cukup ke cinta untuk kekal bersama?",2024-05-12,54,0,0,0
p7UdE-5rgic,Ibu tunggal tabah juang barah tahap 4 demi anak,2024-05-12,1766,10,0,3
hwf3sipJCtw,Harapan ibu agar anak istimewa dapat berdikari,2024-05-12,237,4,0,0
MEiwlYEcyVA,Apa erti 'ibu' bagi anda?,2024-05-12,129,2,0,0
GhG55rfCQNU,Wawancara bersama PM Lee: Dua dekad sebagai Perdana Menteri,2024-05-11,1754,14,0,3
Bcmri66o42c,S’pura antara 143 negara undi sokong keanggotaan Palestin di PBB,2024-05-11,854,16,0,5
3zl5rIANj_g,Di sebalik tabir Gegar Vaganza,2024-05-10,203,4,0,0
HbLBZ_MUg3M,Pesan Mama - Selamat Hari Ibu daripada Berita Harian,2024-05-09,1659,13,0,0
-6LlsxEznIg,Sultan Ibrahim disambut di Parlimen S’pura,2024-05-07,896,13,0,0
EPUy_qW7L2Y,"OMG+ Episode 8 - Kompang, perlu ke?",2024-05-06,68,0,0,0
NjX1dIIbbBA,"Selepas 50 tahun, sumbangan P Ramlee tetap dikenang",2024-05-03,202,10,0,0
Pq-WlAQVW9M,"Prihatin nasib pekerja, sedia dengar rintihan, terbuka terima maklum balas",2024-05-02,49,0,0,0
Jo7Kpu9oQhc,"Nenek hampir 100 tahun masih ligat, tak kenal erti penat",2024-04-28,3192,53,0,0
bg4Fh_EmwXs,Kaki Makan: Rasa asli martabak manis dari Surabaya di kafe Terang Bulan!,2024-04-27,22,1,0,0
rDizRt0smb8,"Mula sebagai personaliti tv, sekarang jadi tukang cari jodoh?",2024-04-26,2102,16,0,1
oiweLDfKgzg,"Pertikaian Israel-Iran boleh jejas sektor dagang, fabrik sosial SG",2024-04-25,155,4,0,1
Y3M3l8GyWtU,"Kurang upaya tapi tetap mahu berdikari, bekerja sendiri",2024-04-22,73,0,0,0
mhhX-y_rzME,"OMG+ Episode 7 - Kuih tradisional, tak laku ke?",2024-04-21,48,0,0,0
bOvs1ORmJ7E,Kaki Makan: 3 perkara yang mungkin anda tidak tahu tentang ASAP & CO.!,2024-04-20,105,1,0,0
NDTrwiYP3jo,"Nak berpoligami, tapi kahwin di luar negara. Boleh ke?",2024-04-19,381,13,0,0
084HTQ5pY-I,DPM Wong beri bayangan keutamaan apabila jadi PM,2024-04-17,1403,4,0,2
i0ef7uGLKp4,Apa kata warga Singapura tentang peralihan kepimpinan Singapura?,2024-04-16,1145,5,0,3
wFox3gt2TWM,"OMG+ Episod 6 - Rumahku syurgaku, tapi aset atau liabiliti?",2024-04-13,26,0,0,0
lRU0uE8hp_o,Kaki Makan: Jurulatih renang buka niaga selepas terpaut dengan donat Greek di Dubai,2024-04-13,280,5,0,0
6uN1hRppbp8,Daging yang 'dibuat' di makmal...halal ke?,2024-04-12,301,1,0,0
yXKGnfvEhPs,Smaye!: Karaoke Berantai bersama Berita Harian dan tamu istimewa Nana Karia & Hyrul Anuar,2024-04-10,329,10,0,0
ziG_sLxJPKE,"Smaye!: Kenangan Raya Vodcast Musik Berita Harian bersama Didicazli, Shazza, Sio Lubis dan Zalelo",2024-04-10,108,4,0,0
0rHkt5WNffw,Smaye! : Teka Kuih Raya,2024-04-10,241,3,0,0
beGugTlOwGk,Smaye!: Evolusi Hari Raya bersama Berita Harian,2024-04-10,177,4,0,0
w1iFYW6cjEc,"Smaye! : Belakang Tabir Filem Pendek Raya ""Pesan Mama""",2024-04-10,78,2,0,0
JNP-D3_hHCo,Smaye!: Tabah,2024-04-10,131,1,0,0
TETZabqE8F8,Smaye!: Pesan Mama,2024-04-10,86,3,0,0
WxFRh9nUMDo,Ucapan Hari Raya daripada Encik Masagos Zulkifli Masagos Mohamad,2024-04-10,38,0,0,0
xwXD_hcMkIQ,LIVE Solat Sunnah & Khutbah Aidilfitri 1445H / 2024 | 1st Syawal 1445H,2024-04-10,225,5,0,0
1bmpvbKEC8I,"OMG+ Episod 5 - Rumahku syurgaku, tapi nak sewa ke beli?",2024-04-07,27,0,0,0
hqFVYVii1SQ,"Raya, raya, raya....ingat lagu raya tak?",2024-04-05,94,2,0,0
Y1PrklSN3b8,Rindu Kasih - Didicazli,2024-04-05,457,12,0,0
5ACrt_RkNTc,BTO 5 tahun terus 'upgrade' ke kondo...mampu ke?,2024-04-05,153,3,0,0
mTFMnqxT1OQ,"Pekerja migran Bangladesh jalin kebersamaan, buka puasa di asrama",2024-04-03,210,4,0,0
AIo0ZSG92jE,Beramai-ramai kekal sihat semasa Ramadan,2024-04-03,76,3,0,0
oSDSFxNHWIo,Pesan Mama - Filem pendek Hari Raya 2024 oleh Berita Harian Singapura,2024-04-03,34052,950,0,7
W4hdWGi4TIY,Bazar sekarang ‘overhyped’ atau sekadar ikut selera orang?,2024-03-31,95,0,0,0
F17Dsa9hSQo,"Kaki Jalan: Nikmati cuti di Almaty, Kazakhstan!",2024-03-31,82,2,0,0
QmfR7cfmyfY,"Kaki Makan: Papa Ayam, Honeylem'n, Warung Man Baba gabung tenaga sempena Ramadan",2024-03-30,34,1,0,0
-Hy6VXe-zr4,"Dialog Belanjawan BH 2024: Wakaf Masyarakat galak masyarakat sumbang, biaya keperluan masa depan",2024-03-28,53,0,0,0
Y_-7QE8tSvo,"‘Galak pelajar guna bahasa Melayu secara kreatif, relevan’",2024-03-28,46,1,0,0
eOmdbKvsyk4,"Pejabat Kesihatan Mental Kebangsaan 2025, bagaimana Gen Z boleh manfaat daripada program ini?",2024-03-28,20,0,0,0
1YB5KoGJUAk,Mengamalkan gaya hidup sihat … antara nak dan tak nak,2024-03-28,80,1,0,0
sYsUpXf93Z4,"Vaping lebih ""sihat"" daripada merokok?",2024-03-28,30,1,0,0
tLZnWX8pVMk,Dialog Belanjawan Berita Harian 2024,2024-03-27,64,0,0,0
luUNFQCLUD0,OMG+ Episod 4 - Stigma kesihatan mental.. Jangan dengarkan sangat,2024-03-23,42,0,0,0
BZbaXRWfQjw,"Dialog Belanjawan BH 2024: Asatizah, peniaga, karyawan teras masyarakat cemerlang",2024-03-23,27,1,0,0
XSawTE_2dUc,"Dialog Belanjawan BH 2024: Pelajaran penting, tapi peningkatan kemahiran lebih penting",2024-03-23,20,1,0,0
Ho6QvIX-Q9c,Dialog Belanjawan BH 2024: Pementoran Kilat rujukan belia; gesa masyarakat untuk jaga kesihatan,2024-03-23,15,1,0,0
1tdpLrKuAVM,Kaki Makan: Tarikan bazar Raya di Johor Bahru,2024-03-23,49,2,0,0
-eEu1x3evTU,Melayu dah banyak maju… Tetapi kenapa macam masih ada yang belum puas?,2024-03-22,91,1,0,0
kmpCmQrykhs,tBH - Perkembangan pesat negara Teluk buka peluang bagi Singapura,2024-03-19,29,1,0,0
HUdWO4Tg2Wg,tBH -  Zon Ekonomi Khas (SEZ) Johor-Singapura peluang baik bagi pelabur,2024-03-19,87,4,0,0
GKqgDjP-oXY,tBH - Hubungan Singapura dengan negara ASEAN,2024-03-19,37,2,0,0
XLbVtOVnIRc,OMG+ Episod 3 - Stres.. Jangan ikut  hati sangat!,2024-03-17,94,3,0,0
EktMlxqvuPA,Kaki Makan: Menu khas Ramadan terap budaya Turkey dan Greek,2024-03-16,46,4,0,0
duOpik4Qy6A,BH rai kanak-kanak Rumah Kebajikan Muhammadiyah dalam iftar,2024-03-15,20,1,0,0
KF3_jbeTbYw,Cukup ke ibadah bulan Ramadan ini?,2024-03-15,94,3,0,0
3p3xJjEH9xY,Kaki Makan: Hidangan-hidangan inovatif di bazar Gemilang Kampong Gelam,2024-03-09,184,1,0,0
MX9LJr2PLjM,62 individu disiasat dalam operasi penguatkuasaan berbilang agensi,2024-03-08,378,2,0,0
5wAjhiUFIwo,KAKI MAKAN: Banyaknya kurma… apakah perbezaannya?,2024-03-08,865,5,0,1
Yo7lyhauhP8,PM: Perjanjian eksklusif konsert Taylor Swift bukan ‘tidak ramah’ dengan negara jiran,2024-03-05,33,0,0,0
SPBfB16zCOY,Raih gred ‘A’ peperiksaan sains antarabangsa pada usia 10 tahun,2024-03-05,339,4,0,0
bb0Y_Eoeplk,"OMG+ Episod 2 - Simpan duit, sampai bila?",2024-03-02,47,0,0,0
02ynNRyaMKw,"Kaki Makan: Kurma Ajwa pilihan utama, terlaris sempena Ramadan",2024-03-01,49,1,0,0
FCSUOvRH7Jw,Mengenang Cikgu Suratman Markasan,2024-02-28,71,3,0,0
EEnrbJrjbs4,Pasar raya baru 'berlabuh' di Clarke Quay,2024-02-26,16,0,0,0
HU85kRQVqYo,OMG+ Episod 1 - Cukup ke gaji kita?,2024-02-24,42,1,0,0
Nt2zbsAFXdw,Banduan hasrat buru ijazah sarjana muda di penjara,2024-02-24,65,1,0,0
-S5BhzUNBrw,Pasar raya baru kini 'berlabuh' di Clarke Quay,2024-02-24,13,0,0,0
cMyhZuQeZZ0,4 Gerai Nasi Ayam untuk Dicuba!,2024-02-24,320,2,0,0
exGkimVw3Dw,OMG+ - Sebuah siri ringkas akan datang!,2024-02-23,14,0,0,0
ciy6CjS35ms,"Terdapat peluang bagi niaga mikro, kecil berkembang: Zaqy",2024-02-22,13,0,0,0
-17jLtrZVuo,Bagaimana pengalaman peperiksaan GCE Peringkat ‘A’ anda?,2024-02-21,77,1,0,0
v5S6OKzwP_0,"Lulusan ITE peroleh sokongan ke diploma, dapat tokokan CPF",2024-02-16,49,0,0,0
wzlb_MPkkU0,Sekilas pengumuman utama Belanjawan 2024,2024-02-16,44,0,0,0
TBrrdI0RnXw,"Kalau bukan rakyat sendiri yang lindungi Singapura, siapa lagi?",2024-02-15,103,0,0,0
vrIbXTus8R4,"Perjuangan Kadir jadi inspirasi, buka laluan kepada petinju muda",2024-02-08,79,0,0,0
p174g_89O_A,Siapakah bakal jadi Presiden Indonesia?,2024-02-08,110,0,0,0
ExUpdLMQ_L0,"Doktor SAF bantu mangsa Gaza di Mesir, balik penuh insaf?",2024-02-06,127,5,0,0
n29BwoFJTSo,Kaki Makan: 3 gerai perata untuk dicuba!,2024-02-03,164,0,0,0
y5s4KdW1ijA,Pembedahan mata bantu karyawan capai impian jadi juruterbang RSAF,2024-01-27,33,2,0,0
mzXudZ6-FCs,Sistem berasaskan kad: Tambahan $40j akan ditanggung pemerintah,2024-01-26,27,0,0,0
pYjdB8fbFHM,Pelaksanaan SimplyGo ‘keputusan yang salah’; LTA patut berunding dengan lebih meluas: Hong Tat,2024-01-26,22,0,0,0
flzFNwtDqIg,"Penting S’pura punya dasar luar aktif, baik dengan negara lain",2024-01-26,33,1,0,0
s9ebABwYtKw,Program KidSTART diperluas ke seluruh negara jelang 2025,2024-01-26,11,0,0,0
tuOm1fuMLJE,Penumpang tidak perlu tukar kepada kad SimplyGO,2024-01-26,35,0,0,0
7EFYteO6k9U,Bahang konsert Coldplay 'menggigit',2024-01-25,66,1,0,0
gVeiYijAMiE,BH terangkan: Apa itu 'Deepfake'?,2024-01-22,95,0,0,0
jSQ4E0K15d0,Kerja sukarelawan bawa kegembiraan kepada kehidupan,2024-01-21,41,0,0,0
ALWzN-fltU0,Kaki Makan: Cipta pengalaman baru bagi pencinta Wagyu,2024-01-20,148,1,0,1
QjTdagJDnOc,Sukan gusti sama dengan WWE ke....,2024-01-19,75,4,0,0
Zp_NHG1WNYo,Sorotan kes: Iswaran didakwa  6 bulan selepas ditangkap CPIB,2024-01-18,102,0,0,0
zSettf8bl_o,Campur tangan awal penting bagi anak dengan masalah pendengaran sejak lahir,2024-01-15,42,3,0,0
3ZM5NYVGRJI,5 Tempat 'Best' Kaki Makan 2023,2024-01-15,71,2,0,0
mi7jdWOtPpo,Kaki Makan: Biskut 'cedok' jadi kegilaan ramai,2024-01-15,96,1,0,0
62_BfifdAB8,"Liza Hanim bukan pandai nyanyi je, tapi...",2024-01-13,215,8,0,0
ADnwPh4DgVk,Boleh ke cakap pasal seks sebelum berkahwin?,2024-01-12,255,2,0,0
zsvK6ay04Lo,Usaha gigih buah hasil walau galas pelbagai tanggungjawab,2024-01-12,26,2,0,0
frydGJ3FKYg,Keputusan GCE 'O' keluar pada 11 Januari... ingat lagi tak pengalaman buat kertas peperiksaan?,2024-01-10,127,3,0,0
vc4WAlwetKE,Aina Abdul ‘ada kelas’ dunia,2024-01-10,2054,90,0,1
RBOfF1Bp6Ic,Guna air liur saja pun boleh mengesan penggunaan dadah,2024-01-10,169,2,0,0
Wp_sH0A3Fxo,"SPF guna teknologi untuk kesan, cegah kes penipuan",2024-01-08,132,9,0,0
i0ItGjJYow4,Keluarga 4 beranak S’pura terperangkap dalam kejadian tembakan di Prague,2024-01-05,524,0,0,0
JVw_UCwYiqU,Rakan karib rupanya adik kandung; adik-beradik Cina dibesarkan keluarga angkat.,2024-01-05,34579,146,0,5
nZw2c5tCA-8,Psst... malu ke nak bincang tentang seks?,2024-01-05,357,3,0,0
ipE50k5Ddac,'Crossbar Challenge' bersama Nathan Mao,2024-01-05,62,2,0,0
TuyHsoFtYq0,"Pelajar madrasah cekal semangat, lulus peperiksaan IB",2024-01-04,42,1,0,0
lGFs5D-GR0o,"Pemain termuda buat penampilan sulung dalam SPL, kenali Nathan Mao dengan lebih dekat",2024-01-04,93,3,0,0
0goEoSglxXs,Tak bersalah ke jual air harga $350 kepada anak-anak kecil?,2023-12-29,132,1,0,0
pOje8Ho_z20,Nak buat apa dengan sisa makanan banyak-banyak?,2023-12-29,69,2,0,0
YyuVYeYg5QA,Sambutan lebih ceria dengan bantuan Darul Islah,2023-12-27,38,0,0,0
pQR-IbAZi04,Kaki Makan: Hidangan ‘mak cik bismillah’ tarik minat pelanggan,2023-12-23,1853,14,0,2
IgCMJJkSNRI,Kaki Makan: Sajian Barat klasik cetus kenangan nostalgik,2023-12-23,239,12,0,2
lXjyDQofDZs,Ilhamkan aplikasi ‘Kubur Search’ permudah pengunjung cari pusara,2023-12-23,50,1,0,2
g0W46kag-5s,"#NoTapis - Aina Abdul ""koyak"" dengan komen netizen?",2023-12-22,4178,259,0,0
_ND_ThTURQY,Bukti kemampuan dalam pelajaran walau perlu kerja sambilan bantu ibu,2023-12-18,28,1,0,0
uQb05n9SwWE,"KAKI MAKAN: The Meatery, kedai penyediaan daging gourmet halal di Upper Thomson",2023-12-16,52,0,0,0
s5YK1iiHx7o,#NoTapis - Apa yang Aisyah rower buat lepas Olimpik 2016?,2023-12-15,28,0,0,0
E1PejEJnf3w,Malam ‘Galau’ tidak kacau-bilau,2023-12-14,23,0,0,0
GV4u4fDrAwU,Apakah perasaan Jaclyn Victor semasa konsert akhir AS GV?,2023-12-12,197,2,0,0
DO6Zh7UNFYo,"KAKI MAKAN: Kafe kedua Tarik pelanggan nikmati teh, kopi ciptaan sendiri",2023-12-09,43,1,0,0
vGyhWfCe74g,Ketua kesatuan NTUC buat apa...jadi cashier FairPrice ke?,2023-12-08,53,2,0,0
KCOobW9XiAw,66 wanita ikuti kem Perkhidmatan Negara,2023-12-07,66,0,0,0
MZL9OiXyYoU,Kenapa wartawan BH 'masuk longkang' ?,2023-12-06,685,3,0,0
du3OfDGPfQI,Pentas akhir di Axiata Arena milik siapa?,2023-12-02,3394,6,0,1
ECOfTGEcK2U,Kaki Makan: Dapur terbuka Oud buka selera dengan aroma kayu api,2023-12-02,99,3,0,0
LzKdoJhcdUM,Kaki Makan: Yaksok: Pilihan santapan Korea-Jepun di Tanjong Pagar,2023-12-02,70,2,0,0
jOJMGXX0D4Y,"#NOTAPIS: Kenapa Hazrul Nizam & Dina Nadzir ""Berat Hati""?",2023-12-01,193,3,0,0
vYWLI60y0FQ,Pemerintah faham sentimen Melayu/Islam tentang konflik Israel-Palestin: Maliki,2023-11-30,587,21,0,0
W6GLc8MyHl4,"Bukan kerana takut tetapi kepentingan kepada keamanan, adab dan perpaduan sosial: Ahmad Firdaus Daud",2023-11-30,25,0,0,0
rwozz6yN2HA,Idea perbincangan antara agama adalah untuk mewujudkan ikatan kuat: Francois Bretault,2023-11-30,30,0,0,0
gkSl4Awf1a0,“Girl Math” Masuk akal Tak?,2023-11-28,145,1,0,0
Veb5VKptNfw,#NoTapis - Konflik Israel-Palestin: Respons & sentimen masyarakat,2023-11-27,191,2,0,0
e9wTY1GFVeo,‘Kami Okami nak bantu anak muda lain berdaya maju’,2023-11-25,45,1,0,0
RId5nTM0eHw,Kaki Makan: 4 Gerai Nasi Lemak untuk Dicuba,2023-11-25,1242,10,0,0
xKzLoyvjyS4,Kaki Makan: Burger tanduri jadi pilihan pasangan niaga,2023-11-18,87,0,0,0
BoAYIAx122A,Kaki Makan: Gerai wafel dan kopi berkonsep unik,2023-11-18,257,1,0,0
iQBtrWBKlUM,Konflik Israel - Palestin  - Apakah sebenarnya penyelesaian 2 negara?,2023-11-17,87,0,0,0
WbTsTosCDZs,Dua pesilat S’pura rangkul anugerah terbaik,2023-11-17,20,1,0,0
